filename,width,height,class,xmin,ymin,xmax,ymax
download-1-_jpg.rf.00018808842c2f521772e83f35ae53bb.jpg,640,640,Bethu ko Saag,61,114,561,548
download_jpg.rf.0008224bb54982df22e1468a1186515e.jpg,640,640,Bitter Gourd,183,66,640,307
download_jpg.rf.0008224bb54982df22e1468a1186515e.jpg,640,640,Bitter Gourd,1,197,491,563
download_jpg.rf.0008224bb54982df22e1468a1186515e.jpg,640,640,Bitter Gourd,113,105,533,554
364358893_990569905513546_1245418979220757951_n_jpg.rf.001aa309b64c677f96c75b02c0cf432d.jpg,640,640,Chili Pepper -Khursani-,213,90,549,481
-116_jpg.rf.000543847e0e660c97ed0258cfed6af0.jpg,640,640,Mushroom,0,23,288,640
images-10-_jpg.rf.0028abe8895bae5d14104591f7bf5b25.jpg,640,640,Beans,64,98,329,548
images-10-_jpg.rf.0028abe8895bae5d14104591f7bf5b25.jpg,640,640,Beans,237,32,463,546
-71_jpg.rf.0029854ad22e3c8c5aeb8c6fb9197bf2.jpg,640,640,Sweet Potato -Suthuni-,318,33,493,353
-71_jpg.rf.0029854ad22e3c8c5aeb8c6fb9197bf2.jpg,640,640,Sweet Potato -Suthuni-,163,0,363,398
-71_jpg.rf.0029854ad22e3c8c5aeb8c6fb9197bf2.jpg,640,640,Sweet Potato -Suthuni-,3,0,194,438
-71_jpg.rf.0029854ad22e3c8c5aeb8c6fb9197bf2.jpg,640,640,Sweet Potato -Suthuni-,495,46,632,423
-14_jpg.rf.002cccf12111ca44d4413d5423171002.jpg,640,640,Sweet Potato -Suthuni-,170,175,339,519
images-6-_jpg.rf.00497286a3ef0484ca9b2539f830da76.jpg,640,640,Red Lentils,104,43,570,539
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,361,370,571,522
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,386,44,508,102
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,378,108,481,168
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,7,152,145,245
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,93,256,281,340
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,216,163,410,227
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,24,381,202,462
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,0,454,228,526
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,283,547,451,640
images-8-_jpg.rf.004e90acf7e41b897166b4af753c7e9c.jpg,640,640,Taro Leaves -Karkalo-,285,279,515,381
images-4-_jpg.rf.0027bc544a6149450480c51e603f1e60.jpg,640,640,Chickpeas,101,45,587,388
img53_jpg.rf.0052b1266ef02c188d7050151286bf51.jpg,640,640,Cabbage,0,20,257,390
img53_jpg.rf.0052b1266ef02c188d7050151286bf51.jpg,640,640,Cabbage,255,215,452,455
img53_jpg.rf.0052b1266ef02c188d7050151286bf51.jpg,640,640,Cabbage,514,99,640,391
img53_jpg.rf.0052b1266ef02c188d7050151286bf51.jpg,640,640,Cabbage,433,299,604,570
246FA449581AF7C713_jpeg_jpg.rf.0055d61d2ad016e331598cdc55c72bc5.jpg,640,640,Garlic,247,358,425,614
246FA449581AF7C713_jpeg_jpg.rf.0055d61d2ad016e331598cdc55c72bc5.jpg,640,640,Onion,432,359,623,630
246FA449581AF7C713_jpeg_jpg.rf.0055d61d2ad016e331598cdc55c72bc5.jpg,640,640,Ginger,63,349,249,578
246FA449581AF7C713_jpeg_jpg.rf.0055d61d2ad016e331598cdc55c72bc5.jpg,640,640,Chili Pepper -Khursani-,89,78,269,327
246FA449581AF7C713_jpeg_jpg.rf.0055d61d2ad016e331598cdc55c72bc5.jpg,640,640,Chili Powder,449,102,628,353
032_PNG_jpg.rf.003189ddf71f5643feaf7a379410c11c.jpg,640,640,mayonnaise,308,253,434,639
032_PNG_jpg.rf.003189ddf71f5643feaf7a379410c11c.jpg,640,640,Bread,27,109,321,503
032_PNG_jpg.rf.003189ddf71f5643feaf7a379410c11c.jpg,640,640,Egg,351,27,589,258
Image_63_jpg.rf.006ff5b7c4ad3503c64375c65dbd3acb.jpg,640,640,Beetroot,125,16,568,345
Image_63_jpg.rf.006ff5b7c4ad3503c64375c65dbd3acb.jpg,640,640,Onion,180,393,435,640
Image_63_jpg.rf.006ff5b7c4ad3503c64375c65dbd3acb.jpg,640,640,Onion,379,342,628,578
download-13-_jpg.rf.006d9db64f02872463963484c226e017.jpg,640,640,Cabbage,178,93,593,483
download-3-_jpg.rf.0068105cf7cff77c4b15a1f508477e72.jpg,640,640,Cinnamon,206,448,388,592
download-3-_jpg.rf.0068105cf7cff77c4b15a1f508477e72.jpg,640,640,Cinnamon,64,322,324,424
Drumstick-500x500_jpg.rf.007719856ceed7604743e8cacf6c6dc5.jpg,640,640,Sajjyun -Moringa Drumsticks-,19,104,635,567
images-3-_jpg.rf.007b8e7db48a111c35c5899834283f24.jpg,640,640,Lemon -Nimbu-,313,216,492,404
images-3-_jpg.rf.007b8e7db48a111c35c5899834283f24.jpg,640,640,Lemon -Nimbu-,238,193,424,284
images-3-_jpg.rf.007b8e7db48a111c35c5899834283f24.jpg,640,640,Lemon -Nimbu-,131,215,307,381
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,18,214,211,593
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,237,264,412,640
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,468,261,640,640
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,5,25,227,171
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,277,7,418,185
images-10-_jpg.rf.008c722e6e1f277e617488218ecada22.jpg,640,640,Fiddlehead Ferns -Niguro-,476,39,640,208
Image_45_jpg.rf.00952784deafef4da60a50ca3c627fec.jpg,640,640,Beetroot,149,234,365,614
download-4-_jpg.rf.00c9ac95eb73f289a6acfa8648044f33.jpg,640,640,Stinging Nettle -Sisnu-,404,385,640,566
download-4-_jpg.rf.00c9ac95eb73f289a6acfa8648044f33.jpg,640,640,Stinging Nettle -Sisnu-,24,121,498,439
istockphoto-1188701356-612x612_jpg.rf.00d146cdb928ea1dbb72f101852a0f8f.jpg,640,640,Buff Meat,104,194,532,547
download-5-_jpg.rf.008d0755f8236b745ea0ed2f6f17cbc1.jpg,640,640,Artichoke,256,260,520,614
download-5-_jpg.rf.008d0755f8236b745ea0ed2f6f17cbc1.jpg,640,640,Artichoke,133,16,461,296
download-5-_jpg.rf.008d0755f8236b745ea0ed2f6f17cbc1.jpg,640,640,Artichoke,111,216,285,572
download-6-_jpg.rf.00d59feedeb590a9c5f82fadb1138e99.jpg,640,640,Palungo -Nepali Spinach-,17,30,587,640
039_PNG_jpg.rf.00d653202d9921a51e08cad91f3a3dce.jpg,640,640,Cabbage,196,7,396,259
039_PNG_jpg.rf.00d653202d9921a51e08cad91f3a3dce.jpg,640,640,noodle,397,2,617,271
